
16 ISOTOPES IN NETWORK:

Index  Isotope   A   Z   N  Abundance Y  MassFrac X  MassXS(MeV)
    0       1n   1   0   1  0.00000e+00    0.000000      8.07100
    1       1H   1   1   0  7.08591e-01    0.708591      7.28900
    2      4He   4   2   2  6.90017e-02    0.276007      2.42500
    3      12C  12   6   6  2.53424e-04    0.003041      0.00000
    4      13C  13   6   7  2.81800e-06    0.000037      3.12500
    5      13N  13   7   6  0.00000e+00    0.000000      5.34600
    6      14N  14   7   7  7.88598e-05    0.001104      2.86300
    7      15N  15   7   8  2.91684e-07    0.000004      0.10100
    8      15O  15   8   7  0.00000e+00    0.000000      2.85500
    9      16O  16   8   8  6.01610e-04    0.009626     -4.73700
   10      17O  17   8   9  2.91684e-07    0.000005     -0.80900
   11      18O  18   8  10  1.20984e-06    0.000022     -0.78200
   12     17Fl  17   9   8  0.00000e+00    0.000000      1.95200
   13     18Fl  18   9   9  0.00000e+00    0.000000      0.87300
   14     19Fl  19   9  10  0.00000e+00    0.000000     -1.48700
   15     20Ne  20  10  10  7.81832e-05    0.001564     -7.04200

SUMMARY: 134 REACTIONS

110 f18-->p+o17 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-5.6070 prefac=1.0000 RGsymb:a+b<->c
111 p+o17-->n+f17 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-3.5433 prefac=1.0000 RGsymb:a+b<->c+d
112 n+f17-->p+o17 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=3.5433 prefac=1.0000 RGsymb:a+b<->c+d
113 p+o18-->f19 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.9940 prefac=1.0000 RGsymb:a+b<->c
114 p+o18-->f19 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.9940 prefac=1.0000 RGsymb:a+b<->c
115 p+o18-->f19 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.9940 prefac=1.0000 RGsymb:a+b<->c
116 f19-->p+o18 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.9940 prefac=1.0000 RGsymb:a+b<->c
117 f19-->p+o18 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.9940 prefac=1.0000 RGsymb:a+b<->c
118 f19-->p+o18 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.9940 prefac=1.0000 RGsymb:a+b<->c
119 p+o18-->n+f18 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-2.4373 prefac=1.0000 RGsymb:a+b<->c+d
120 n+f18-->p+o18 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.4373 prefac=1.0000 RGsymb:a+b<->c+d
121 f17-->o17+e++nu reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=2.7610 prefac=1.0000 RGsymb:a<->b
122 n+f17-->f18 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=9.1504 prefac=1.0000 RGsymb:a+b<->c
123 f18-->n+f17 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-9.1504 prefac=1.0000 RGsymb:a+b<->c
124 he4+f17-->p+ne20 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=4.1340 prefac=1.0000 RGsymb:a+b<->c+d
125 p+ne20-->he4+f17 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-4.1340 prefac=1.0000 RGsymb:a+b<->c+d
126 f18-->o18+e++nu reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=1.6550 prefac=1.0000 RGsymb:a<->b
127 n+f18-->f19 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=10.4314 prefac=1.0000 RGsymb:a+b<->c
128 f19-->n+f18 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-10.4314 prefac=1.0000 RGsymb:a+b<->c
129 p+f19-->ne20 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=12.8480 prefac=1.0000 RGsymb:a+b<->c
130 p+f19-->ne20 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=12.8480 prefac=1.0000 RGsymb:a+b<->c
131 ne20-->p+f19 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-12.8480 prefac=1.0000 RGsymb:a+b<->c
132 ne20-->p+f19 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-12.8480 prefac=1.0000 RGsymb:a+b<->c
133 n+ne20-->he4+o17 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-0.5900 prefac=1.0000 RGsymb:a+b<->c+d


PARTIAL EQUILIBRIUM REACTION GROUPS

Reaction Group 0:
n-->p+e+nubar reacIndex=0 RGindex=0 RGclass=1 RGreacIndex=0 isForward=1 RG:a<->b

Reaction Group 1:
he4+he4+he4-->c12 reacIndex=1 RGindex=0 RGclass=3 RGreacIndex=0 isForward=1 RG:a+b+c<->d
he4+he4+he4-->c12 reacIndex=2 RGindex=1 RGclass=3 RGreacIndex=1 isForward=1 RG:a+b+c<->d
c12-->he4+he4+he4 reacIndex=3 RGindex=2 RGclass=3 RGreacIndex=2 isForward=0 RG:a+b+c<->d
c12-->he4+he4+he4 reacIndex=4 RGindex=3 RGclass=3 RGreacIndex=3 isForward=0 RG:a+b+c<->d

Reaction Group 2:
n+c12-->c13 reacIndex=5 RGindex=0 RGclass=2 RGreacIndex=0 isForward=1 RG:a+b<->c
c13-->n+c12 reacIndex=6 RGindex=1 RGclass=2 RGreacIndex=1 isForward=0 RG:a+b<->c

Reaction Group 3:
p+c12-->n13 reacIndex=7 RGindex=0 RGclass=2 RGreacIndex=0 isForward=1 RG:a+b<->c
p+c12-->n13 reacIndex=8 RGindex=1 RGclass=2 RGreacIndex=1 isForward=1 RG:a+b<->c
n13-->p+c12 reacIndex=9 RGindex=2 RGclass=2 RGreacIndex=2 isForward=0 RG:a+b<->c
n13-->p+c12 reacIndex=10 RGindex=3 RGclass=2 RGreacIndex=3 isForward=0 RG:a+b<->c

Reaction Group 4:
he4+c12-->o16 reacIndex=11 RGindex=0 RGclass=2 RGreacIndex=0 isForward=1 RG:a+b<->c
he4+c12-->o16 reacIndex=12 RGindex=1 RGclass=2 RGreacIndex=1 isForward=1 RG:a+b<->c
o16-->he4+c12 reacIndex=13 RGindex=2 RGclass=2 RGreacIndex=2 isForward=0 RG:a+b<->c
o16-->he4+c12 reacIndex=14 RGindex=3 RGclass=2 RGreacIndex=3 isForward=0 RG:a+b<->c

Reaction Group 5:
he4+c12-->n+o15 reacIndex=15 RGindex=0 RGclass=4 RGreacIndex=0 isForward=1 RG:a+b<->c+d
n+o15-->he4+c12 reacIndex=16 RGindex=1 RGclass=4 RGreacIndex=1 isForward=0 RG:a+b<->c+d

Reaction Group 6:
